8 9 11 12 13 17 18 19 20 21 22 23 24 25 26 27 35 38 39 43 44 45 46 49 51 55 56 59 61 66 68 71 72 78 2 3 4 5 6 7 10 14 15 16 28 29 30 31 32 33 34 36 37 40 41 42 52 53 54 57 58 60 62 63 64 65 67 69 70 73 74 75 76 77 
s  p  r  o  g  a  m  v  i  n  t  e  0  1  2  3  4  5  6  7  8  9  .  L  E  =  <  >  l  b  d  f  s  h  w  +  -  *  /  ;  ,  (  )  :  c  j  k  q  u  x  y  z  A  B  C  D  F  G  H  I  J  K  M  N  O  P  Q  R  S  T  U  V  W  X  Y  Z  
38  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
39  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
40  28  28  28  41  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
41  28  28  28  28  28  28  28  42  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
42  28  28  28  28  28  28  28  28  43  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
43  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
44  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
45  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
46  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
47  0  0  0  0  0  0  0  0  0  0  0  48  48  48  48  48  48  48  48  48  48  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
48  0  0  0  0  0  0  0  0  0  0  0  48  48  48  48  48  48  48  48  48  48  0  49  50  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
50  0  0  0  0  0  0  0  0  0  0  0  51  51  51  51  51  51  51  51  51  51  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
51  0  0  0  0  0  0  0  0  0  0  0  51  51  51  51  51  51  51  51  51  51  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
52  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  56  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
53  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  54  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
54  28  28  28  28  28  28  28  28  28  28  55  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
55  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
56  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
57  28  28  28  28  28  28  28  28  28  28  58  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
